1,"Phelps, Michael Michael Phelps",Estados Unidos,23,3,2,28
2,"Latynina, Larissa Larissa Latynina",União Soviética,9,5,4,18
3,"Nurmi, Paavo Paavo Nurmi",Finlândia,9,3,0,12
4,"Spitz, Mark Mark Spitz",Estados Unidos,9,1,1,11
5,"Lewis, Carl Carl Lewis",Estados Unidos,9,1,0,10
6,"Bjørndalen, Ole Einar Ole Einar Bjørndalen",Noruega,8,4,1,13
7,"Dæhlie, Bjørn Bjørn Dæhlie",Noruega,8,4,0,12
8,"Fischer, Birgit Birgit Fischer",Alemanha,8,4,0,12
9,"Kato, Sawao Sawao Kato",Japão,8,3,1,12
10,"Thompson, Jenny Jenny Thompson",Estados Unidos,8,3,1,12
